day,sizebin1,sizebin2,sizebin3,sizebin4,sizebin5,sizebin6,,Day 1= December 1st (no specific year- they  are calculated by a model- day 335 is Dec 1 on Camila's set up)
68,0.000269171,0.000130742,0.000461167,0.164860065,0.962679378,1.618099353,,
69,0.000270251,0.000131415,0.000461827,0.164794003,0.962169877,1.616365488,,
70,0.000271369,0.00013212,0.0004628,0.16488126,0.962533751,1.616130738,,
71,0.000272385,0.000132787,0.000463819,0.165036676,0.963260964,1.616556544,,
72,0.000273235,0.00013338,0.000464712,0.165207736,0.964036785,1.617135289,,
73,0.00027393,0.0001339,0.000465419,0.165380447,0.964777926,1.617747008,,
74,0.000274502,0.000134356,0.000465905,0.165549445,0.965455611,1.618364401,,
75,0.00027494,0.00013474,0.000466092,0.165691148,0.965936723,1.618778177,,
76,0.000275085,0.000134963,0.000465591,0.165665935,0.965424672,1.617662772,,
77,0.000274989,0.000135045,0.000464415,0.165474008,0.963932846,1.615046804,,
78,0.000274653,0.000134982,0.000462521,0.165090833,0.961331488,1.610708311,,
79,0.000273952,0.000134707,0.000459625,0.164397987,0.956952801,1.603515038,,
80,0.000273009,0.000134271,0.000455879,0.163426405,0.951000825,1.593787214,,
81,0.000271998,0.000133759,0.000451556,0.162249694,0.943926486,1.582256362,,
82,0.000270945,0.000133191,0.000446802,0.160898693,0.935911881,1.569188651,,
83,0.000269918,0.000132605,0.000441772,0.159409964,0.927181125,1.554933091,,
84,0.00026909,0.000132093,0.00043683,0.15790412,0.91843825,1.540647033,,
85,0.000268448,0.000131659,0.000432054,0.156404128,0.909812796,1.526532329,,
86,0.000267952,0.000131292,0.000427465,0.154922805,0.901362842,1.512681475,,
87,0.000267593,0.000130993,0.000423098,0.15346728,0.893132296,1.499157715,,
88,0.000267327,0.000130744,0.000418933,0.152027333,0.885059763,1.485849151,,
89,0.000267157,0.000130549,0.000415005,0.150616174,0.877218328,1.47287342,,
90,0.000267043,0.000130392,0.0004113,0.149231376,0.869585168,1.460189797,,
91,0.000266977,0.000130269,0.000407809,0.14787028,0.862143357,1.447768489,,
92,0.00026695,0.000130173,0.000404521,0.146530814,0.854878641,1.435584868,,
93,0.000266954,0.000130103,0.000401431,0.145212924,0.847787507,1.423634054,,
94,0.000266987,0.000130055,0.000398533,0.143918801,0.840878716,1.411932957,,
95,0.000267046,0.000130028,0.000395827,0.142648406,0.83415145,1.400480861,,
96,0.000267125,0.00013002,0.000393304,0.141403414,0.82760995,1.389288431,,
97,0.000267221,0.000130028,0.000390961,0.140184153,0.821254472,1.378356911,,
98,0.000267323,0.000130048,0.00038879,0.138992411,0.815088548,1.367696213,,
99,0.000267434,0.00013008,0.000386787,0.137827152,0.809106839,1.357298215,,
100,0.000267555,0.000130124,0.000384939,0.136688059,0.803304431,1.34715806,,
101,0.000267681,0.000130176,0.000383243,0.135574302,0.797675395,1.337266656,,
102,0.000267807,0.000130235,0.000381682,0.134484672,0.79220834,1.327609304,,
103,0.000267934,0.000130298,0.000380252,0.133419131,0.78690185,1.318184997,,
104,0.00026806,0.000130366,0.000378947,0.132377668,0.781753698,1.308992577,,
105,0.00026819,0.00013044,0.000377764,0.131361783,0.776770703,1.300046782,,
106,0.00026832,0.000130518,0.000376694,0.130370574,0.771945297,1.291337064,,
107,0.000268449,0.000130599,0.000375729,0.12940399,0.767275029,1.282861872,,
108,0.000268591,0.00013069,0.000374881,0.128468317,0.762795723,1.274686368,,
109,0.000268743,0.000130789,0.00037414,0.127562335,0.75849785,1.26679666,,
110,0.000268906,0.000130896,0.000373502,0.126687134,0.75438584,1.259203188,,
111,0.000269073,0.000131009,0.000372949,0.12583879,0.75043474,1.251869673,,
112,0.000269243,0.000131125,0.00037247,0.125016224,0.746636265,1.244786366,,
113,0.000269416,0.000131247,0.000372063,0.124220461,0.742994479,1.237963177,,
114,0.000269586,0.000131369,0.000371709,0.123447296,0.739482677,1.231359948,,
115,0.000269744,0.000131486,0.000371382,0.122689168,0.736054399,1.22490413,,
116,0.000269888,0.000131599,0.000371076,0.121946902,0.732712558,1.218604127,,
