day,sizebin1,sizebin2,sizebin3,sizebin4,sizebin5,sizebin6,,Day 1= December 1st (no specific year- they  are calculated by a model- day 335 is Dec 1 on Camila's set up)
67,3.51E-05,0.002978853,4.20497204,35.61321608,41.58386008,42.9241707,,
68,3.54E-05,0.002773559,4.122666163,35.64892332,41.91913452,43.12403792,,
69,3.57E-05,0.002581965,4.044008176,35.68451301,42.20729684,43.33871339,,
70,3.59E-05,0.002404995,3.971163838,35.70462555,42.45322873,43.58171466,,
71,3.62E-05,0.002241868,3.90361979,35.66795272,42.64129014,43.84316784,,
72,3.65E-05,0.002090692,3.838479256,35.53314786,42.74739293,44.09988517,,
73,3.68E-05,0.00195113,3.775185409,35.28835482,42.76384841,44.33867654,,
74,3.72E-05,0.001822747,3.712881378,34.92762544,42.69734035,44.55680644,,
75,3.75E-05,0.00170504,3.651577066,34.45349244,42.56007469,44.75387226,,
76,3.79E-05,0.001597558,3.589157971,33.88022379,42.35801026,44.92453337,,
77,3.84E-05,0.001499108,3.521128831,33.21102836,42.07382289,45.03309433,,
78,3.89E-05,0.001408857,3.448817493,32.49814125,41.73663669,45.08417345,,
79,3.94E-05,0.00132597,3.37472404,31.77271277,41.36064902,45.07486017,,
80,4.00E-05,0.001249036,3.30140711,31.05821711,40.94367203,44.97877883,,
81,4.06E-05,0.00117784,3.233441869,30.40312135,40.52030544,44.81085078,,
82,4.12E-05,0.001112795,3.17273522,29.85092685,40.12980595,44.59709677,,
83,4.18E-05,0.001052452,3.114079889,29.39571197,39.77654114,44.34828874,,
84,4.23E-05,0.000996564,3.057281397,29.04531359,39.47497219,44.07734709,,
85,4.29E-05,0.000945027,3.004068998,28.78961325,39.24556221,43.81719502,,
86,4.34E-05,0.00089735,2.954631687,28.6090164,39.08236187,43.57221025,,
87,4.39E-05,0.000852647,2.907999767,28.48728888,38.97401063,43.34368277,,
88,4.44E-05,0.000810834,2.864153157,28.42152271,38.91977279,43.13357808,,
89,4.49E-05,0.000771606,2.823011833,28.40233513,38.91056399,42.93758782,,
90,4.53E-05,0.000734714,2.784316801,28.42392683,38.9436418,42.7587236,,
91,4.56E-05,0.000699863,2.747783236,28.47616392,39.01253121,42.59513442,,
92,4.59E-05,0.000666905,2.71327921,28.55021008,39.11227888,42.44509566,,
93,4.62E-05,0.000635681,2.680654757,28.63751078,39.23775933,42.30698435,,
94,4.65E-05,0.000606048,2.649775485,28.73257235,39.38449832,42.17981902,,
95,4.67E-05,0.00057789,2.620555255,28.83379619,39.54890703,42.06340408,,
96,4.69E-05,0.00055121,2.592996645,28.94187181,39.73064964,41.95765872,,
97,4.70E-05,0.000525879,2.566998666,29.05554499,39.92476346,41.86196067,,
98,4.72E-05,0.000501875,2.542524527,29.17488328,40.1308467,41.77638204,,
99,4.73E-05,0.000479068,2.519436907,29.29909196,40.34459281,41.70059554,,
100,4.74E-05,0.000457457,2.497754348,29.42797053,40.56454205,41.63406516,,
101,4.75E-05,0.000436967,2.477421814,29.56079982,40.78631153,41.57590456,,
102,4.75E-05,0.000417582,2.45836273,29.69695415,41.00972335,41.52595613,,
103,4.76E-05,0.00039921,2.440438684,29.83502378,41.2300541,41.48313523,,
104,4.76E-05,0.000381819,2.423635049,29.97477205,41.44541965,41.44707563,,
105,4.76E-05,0.000365373,2.40794304,30.11571507,41.65372683,41.41749731,,
106,4.76E-05,0.00034988,2.393515292,30.25793428,41.85452617,41.39502354,,
107,4.76E-05,0.00033528,2.380247663,30.40061184,42.04475352,41.37884073,,
108,4.75E-05,0.000321536,2.368127392,30.54324996,42.22227524,41.36864665,,
109,4.75E-05,0.000308652,2.357272786,30.6759061,42.38848489,41.36636228,,
110,4.75E-05,0.000296585,2.347646836,30.79982978,42.5405963,41.3712741,,
111,4.74E-05,0.000285306,2.339260336,30.91282589,42.67710972,41.38347939,,
112,4.74E-05,0.000274782,2.332086653,31.01043224,42.79681964,41.40161622,,
113,4.73E-05,0.000264984,2.326120802,31.08940907,42.89837371,41.42515201,,
114,4.73E-05,0.000255882,2.321373849,31.14742255,42.98031069,41.45416883,,
115,4.73E-05,0.000247444,2.317775204,31.18374657,43.04198258,41.48727264,,
116,4.72E-05,0.000239634,2.315192447,31.1995603,43.08338582,41.52213436,,
117,4.72E-05,0.000232421,2.313647703,31.19128076,43.10290604,41.55876202,,
118,4.72E-05,0.000225777,2.313123495,31.15839369,43.10034933,41.59648124,,
119,4.72E-05,0.000219684,2.313761188,31.1096561,43.0815886,41.63637916,,
120,4.72E-05,0.000214106,2.315482633,31.04101228,43.04411252,41.67710853,,
121,4.72E-05,0.000209015,2.318285062,30.95280641,42.98828892,41.71815806,,
122,4.72E-05,0.00020438,2.322115882,30.84680791,42.91772414,41.76001458,,
123,4.73E-05,0.000200172,2.326959922,30.72371575,42.83359215,41.80241527,,
124,4.73E-05,0.000196363,2.332812026,30.58394244,42.73641603,41.84489669,,
125,4.74E-05,0.000192928,2.339662181,30.42857168,42.62792888,41.88776385,,
126,4.75E-05,0.000189854,2.347506853,30.25915039,42.51053251,41.93200975,,
127,4.76E-05,0.000187109,2.35632839,30.07621598,42.38517139,41.97712803,,
128,4.77E-05,0.000184667,2.366113894,29.88069434,42.2533487,42.02318865,,
129,4.79E-05,0.000182508,2.375997417,29.67402425,42.11454342,42.07010487,,
130,4.80E-05,0.000180607,2.386160518,29.4570147,41.97072016,42.11798236,,
131,4.82E-05,0.000178937,2.396440222,29.23068185,41.82302595,42.16686353,,
132,4.84E-05,0.00017748,2.406451999,28.99573276,41.67070762,42.21532393,,
133,4.86E-05,0.000176212,2.415876078,28.75296484,41.51356741,42.26236786,,
134,4.88E-05,0.00017511,2.424564906,28.50341575,41.35288466,42.30813984,,
135,4.91E-05,0.000174155,2.432352565,28.24861553,41.19013452,42.35333152,,
136,4.94E-05,0.000173395,2.439924097,27.99681913,41.03798387,42.41251188,,
137,4.99E-05,0.00017338,2.453143031,27.80890973,41.02816663,42.65812488,,
138,5.04E-05,0.000173473,2.457078338,27.51908255,40.98676795,42.96514569,,
139,5.10E-05,0.000173451,2.44698941,27.09071354,40.84834971,43.25167433,,
140,5.16E-05,0.000173404,2.423632472,26.5475565,40.62777689,43.51439528,,
141,5.23E-05,0.000173379,2.387255823,25.90421883,40.33359963,43.75101288,,
142,5.31E-05,0.000173434,2.338631147,25.17836048,39.97581948,43.95936642,,
143,5.41E-05,0.000173638,2.279611118,24.39487072,39.56862477,44.13808842,,
144,5.52E-05,0.000174012,2.211668436,23.56843344,39.12020999,44.2866935,,
145,5.65E-05,0.000174573,2.136697211,22.71611388,38.6400368,44.40469022,,
146,5.79E-05,0.000175334,2.056670717,21.85316812,38.13654251,44.49186727,,
147,5.95E-05,0.000176299,1.9734327,20.99190772,37.61664689,44.54845824,,
148,6.12E-05,0.000177476,1.888669081,20.14192794,37.08550061,44.57401326,,
149,6.31E-05,0.000178873,1.80385723,19.31135919,36.54800735,44.56896559,,
150,6.51E-05,0.000180498,1.720420792,18.50704223,36.00867004,44.53411009,,
151,6.73E-05,0.000182356,1.639444558,17.73340064,35.47041801,44.46966835,,
152,6.97E-05,0.000184453,1.561697495,16.99335868,34.93615087,44.37714353,,
153,7.22E-05,0.000186794,1.487842764,16.28934789,34.40828419,44.2577042,,
