season,sizebin1,sizebin2,sizebin3,sizebin4,sizebin5,sizebin6
winter,3.72E-05,5.25187456,28.14515059,11.88270871,30.68164132,7.878370039
spring,0.00206552,7.637457331,8.436123872,4.666509097,27.13647205,16.09225965
summer,0.003549581,6.412598351,14.28968542,10.47095647,44.43950682,25.80187985
autumn,0.002988982,27.65052344,30.57231327,10.94356747,25.07588041,7.433822136
